Country ,BD_2012,IR_2012,CBF_2012,GER_2012,TPD_2012,NERV_2012
Benin,-0.40 , 6.80 ,0, 5.30 , 26.80 ,-4.80 
Burkina Faso ,-3.10 , 3.80 ,0, 5.30 , 27.96 , 4.78 
Cabo Verde,-12.40 , 2.50 ,0, 4.00 , 91.10 ,-4.00 
Cote D'Ivoire , 3.20 , 1.30 ,0, 5.30 , 34.20 ,-4.80 
Gambia ,-4.60 , 4.30 , 0.40 , 4.80 , 78.00 ,-4.50 
Ghana ,-5.70 , 9.10 , 25.40 , 3.00 , 47.80 ,-4.40 
Guinea, 3.20 , 15.20 ,0, 2.40 , 42.20 ,-2.50 
Guinea Bissau, 2.10 , 2.10 ,0, 5.30 , 52.40 ,-4.80 
Liberia, 7.50 , 6.90 ,0, 2.80 , 34.10 , 1.30 
Mail,-0.10 , 5.30 ,0, 5.30 , 24.30 , 4.80 
Niger,-1.10 , 0.50 ,0, 5.30 , 18.80 ,-4.80 
Nigeria ,-1.40 , 12.20 ,0, 8.50 , 12.60 , 0.70 
Senegal,-5.80 , 1.40 ,0, 5.30 , 36.70 ,-4.80 
Sierra Leone,-5.20 , 12.90 ,-37.70 , 3.40 , 36.70 , 3.30 
Togo,-5.80 , 2.60 ,0, 5.30 , 44.00 ,-4.80 
