Country ,2012,2013,2014,2015,2016
Benin,-0.40 ,-2.6,-1.9,-8,-6.2
Burkina Faso ,-3.10 ,-3.58,-1.85,-2.03,-3.14
Cabo Verde,-12.40 ,-8.8,-7.2,-3.9,-3.5
Cote D'Ivoire , 3.20 ,2.2,2.2,2.9,3.9
Gambia ,-4.60 ,-8.7,-9.6,-6.3,-9.5
Ghana ,-5.70 ,-8.6,-6.4,-4.8,-10.9
Guinea, 3.20 ,-2,-3.56,-6.9,0.1
Guinea Bissau, 2.10 ,3.4,2.6,2.7,4
Liberia, 7.50 ,-0.5,0.2,1.6,2.2
Mail,-0.10 ,-2.2,-3.8,-1.8,-3.9
Niger,-1.10 ,-2.6,-8.1,-9,-6.1
Nigeria ,-1.40 ,-1.3,-1,-1.5,-2.2
Senegal,-5.80 ,-5.5,-5.2,-4.8,-4.2
Sierra Leone,-5.20 ,-1.6,-3.3,-4.1,-6.4
Togo,-5.80 ,-4.6,-3.4,-6.3,-8.5
