Country ,2012,2013,2014,2015,2016
Benin, 6.80 ,1,-1.1,0.3,-0.8
Burkina Faso , 3.80 ,0.5,-0.3,0.9,-0.2
Cabo Verde, 2.50 ,1.5,-0.2,0.1,-1.4
Cote D'Ivoire , 1.30 ,2.6,0.4,1.2,0.7
Gambia , 4.30 ,5.7,6.9,6.8,7.9
Ghana , 9.10 ,11.7,17,17.2,17.5
Guinea, 15.20 ,11.9,9.7,8.2,8.2
Guinea Bissau, 2.10 ,0.7,-1,1.4,1.5
Liberia, 6.90 ,7.6,9.8,7.8,8.8
Mail, 5.30 ,0.6,0.9,1.5,1.8
Niger, 0.50 ,2.3,0.9,1,0.2
Nigeria , 12.20 ,8.5,8,9,15.7
Senegal, 1.40 ,0.7,1.1,0.1,0.8
Sierra Leone, 12.90 ,10.4,7.2,8.1,10.8
Togo, 2.60 ,1.8,0.2,1.8,0.9
